repo_name,commit_date,num_inserts,num_deletes,num_files,change_set,code_churn,hunks_count,contributor_count,minor_contributors,contributor_names
eric-oss-adc-app-engineering,2023-09-01 14:48:41+05:30,3,1,1,1,2,8.0,3,3,Bala Surendra Kumar Nukala (EXT); Jenkins User; ZKOPHAR
eric-oss-adc-app-engineering,2023-09-01 09:28:30+00:00,1,1,1,1,0,8.0,3,3,Bala Surendra Kumar Nukala (EXT); Jenkins User; ZKOPHAR
eric-oss-adc-app-engineering,2023-09-01 19:59:46+05:30,5,6,4,4,-1,8.0,3,3,Bala Surendra Kumar Nukala (EXT); Jenkins User; ZKOPHAR
eric-oss-adc-app-engineering,2023-09-01 14:48:30+00:00,1,1,1,1,0,8.0,3,3,Bala Surendra Kumar Nukala (EXT); Jenkins User; ZKOPHAR
